fold,roc_auc,pr_auc,f1
1,0.6970325036170573,0.030090797042765207,0.053633727039636835
2,0.6726861670282664,0.08043596238900207,0.09103218817703497
3,0.6431517853995501,0.058617637212493405,0.09746774964166269
4,0.6661746159898703,0.08052697849306974,0.12926004865551466
5,0.7410361283680661,0.11709478264251852,0.14490201390770344
