number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
11,0.0915006987630914,2026-07-15 07:46:27.776116,2026-07-15 07:46:33.476074,0 days 00:00:05.699958,0.7171781358782057,3.0976697156679958,0.03978847079415015,3,9,133,0.26837193414400196,0.0013326772779341549,0.7467143880908638,COMPLETE
9,0.0913383526183967,2026-07-15 07:45:56.487745,2026-07-15 07:46:09.395135,0 days 00:00:12.907390,0.6625916610133735,3.1877873567760657,0.02315199105334554,5,11,256,3.53875886477924,0.0774211647399625,0.7243929286862649,COMPLETE
4,0.09064508079626771,2026-07-15 07:44:53.709108,2026-07-15 07:45:00.651190,0 days 00:00:06.942082,0.5610191174223894,0.17194260557609198,0.09666361264976928,3,8,176,4.337920697490942,0.010842262717330166,0.7760609974958406,COMPLETE
3,0.09006608683926393,2026-07-15 07:44:37.200355,2026-07-15 07:44:53.709108,0 days 00:00:16.508753,0.5852620618436457,4.7444276862666666,0.022257706349811456,7,1,229,7.2866537374910445,1.7123375973163988,0.8430179407605753,COMPLETE
5,0.08968583526693547,2026-07-15 07:45:00.651190,2026-07-15 07:45:13.047501,0 days 00:00:12.396311,0.5924272277627636,3.8756641168055728,0.06623659776144764,5,15,266,5.727904470799623,3.7958531426706403,0.8186841117373118,COMPLETE
2,0.08687785203766243,2026-07-15 07:44:26.884277,2026-07-15 07:44:37.200355,0 days 00:00:10.316078,0.6460723242676091,2.28034992108518,0.08182441148887568,5,6,208,1.382623217936987,0.006290644294586149,0.6557975442608167,COMPLETE
10,0.08661298436440704,2026-07-15 07:46:09.395135,2026-07-15 07:46:27.776116,0 days 00:00:18.380981,0.7512656088373982,3.2718826138537653,0.038240225298307215,6,13,341,0.24807591237692161,0.059620296354058674,0.9729161367647149,COMPLETE
7,0.08392177669483337,2026-07-15 07:45:38.348005,2026-07-15 07:45:47.152767,0 days 00:00:08.804762,0.9010984903770198,4.9344346830025865,0.06977921490278444,4,2,189,1.2273800987852967,0.0062353771356731605,0.6563696899899051,COMPLETE
6,0.08236904649750698,2026-07-15 07:45:13.047501,2026-07-15 07:45:38.348005,0 days 00:00:25.300504,0.522613644455269,1.9433864484474102,0.024520114718375053,9,5,250,0.01217295809836997,2.0651425578959257,0.6783931449676581,COMPLETE
0,0.07876971466523879,2026-07-15 07:43:58.443409,2026-07-15 07:44:16.859894,0 days 00:00:18.416485,0.5780093202212182,0.2904180608409973,0.10790061933340454,9,3,194,2.9154431891537547,0.2537815508265665,0.8394633936788146,COMPLETE
1,0.07851603995671175,2026-07-15 07:44:16.859894,2026-07-15 07:44:26.884277,0 days 00:00:10.024383,0.6061695553391381,0.9170225492671691,0.18661212048851336,3,3,277,0.016480446427978974,0.12561043700013558,0.9329770563201687,COMPLETE
8,0.07689162117748569,2026-07-15 07:45:47.152767,2026-07-15 07:45:56.487745,0 days 00:00:09.334978,0.8856351733429728,1.7923286427213632,0.10183271891637106,8,2,101,0.0029072088906598446,2.8340904295147746,0.8916028672163949,COMPLETE
